GEO_ID,NAME,DATA
Geography,Geographic Area Name,Median Income
25009209100,"Census Tract 2091, Essex County, Massachusetts",155813
25009209200,"Census Tract 2092, Essex County, Massachusetts",197000
25009210100,"Census Tract 2101, Essex County, Massachusetts",144957
25009210200,"Census Tract 2102, Essex County, Massachusetts",126106
25009210301,"Census Tract 2103.01, Essex County, Massachusetts",102955
25009210302,"Census Tract 2103.02, Essex County, Massachusetts",105910
25009210401,"Census Tract 2104.01, Essex County, Massachusetts",54911
25009210402,"Census Tract 2104.02, Essex County, Massachusetts",116203
25009210500,"Census Tract 2105, Essex County, Massachusetts",135717
25009210600,"Census Tract 2106, Essex County, Massachusetts",104519
25009210700,"Census Tract 2107, Essex County, Massachusetts",55119
25009210800,"Census Tract 2108, Essex County, Massachusetts",90180
25009210900,"Census Tract 2109, Essex County, Massachusetts",97500
25009211100,"Census Tract 2111, Essex County, Massachusetts",91159
25009211201,"Census Tract 2112.01, Essex County, Massachusetts",143088
25009211202,"Census Tract 2112.02, Essex County, Massachusetts",103864
25009211300,"Census Tract 2113, Essex County, Massachusetts",155139
25009211401,"Census Tract 2114.01, Essex County, Massachusetts",108182
25009211402,"Census Tract 2114.02, Essex County, Massachusetts",112917
25009212101,"Census Tract 2121.01, Essex County, Massachusetts",181690
25009212102,"Census Tract 2121.02, Essex County, Massachusetts",134571
25009213100,"Census Tract 2131, Essex County, Massachusetts",195515
25009214100,"Census Tract 2141, Essex County, Massachusetts",182111
25009215101,"Census Tract 2151.01, Essex County, Massachusetts",136509
25009215102,"Census Tract 2151.02, Essex County, Massachusetts",132054
25009216100,"Census Tract 2161, Essex County, Massachusetts",166719
25009217101,"Census Tract 2171.01, Essex County, Massachusetts",127727
25009217102,"Census Tract 2171.02, Essex County, Massachusetts",111750
25009217201,"Census Tract 2172.01, Essex County, Massachusetts",126250
25009217202,"Census Tract 2172.02, Essex County, Massachusetts",138415
25009217300,"Census Tract 2173, Essex County, Massachusetts",95163
25009217401,"Census Tract 2174.01, Essex County, Massachusetts",57618
25009217402,"Census Tract 2174.02, Essex County, Massachusetts",69329
