GEO_ID,NAME,S1901_C02_012E,field_259
Geography,Geographic Area Name,Estimate!!Families!!Median income (dollars),
1400000US25005653203,"Census Tract 6532.03, Bristol County, Massachusetts","98946",
1400000US25005653204,"Census Tract 6532.04, Bristol County, Massachusetts","122316",
1400000US25005653301,"Census Tract 6533.01, Bristol County, Massachusetts","153289",
1400000US25005653304,"Census Tract 6533.04, Bristol County, Massachusetts","152399",
1400000US25005654100,"Census Tract 6541, Bristol County, Massachusetts","113214",
1400000US25005654200,"Census Tract 6542, Bristol County, Massachusetts","79211",
1400000US25005655100,"Census Tract 6551, Bristol County, Massachusetts","98914",
1400000US25005655200,"Census Tract 6552, Bristol County, Massachusetts","68255",
1400000US25005655300,"Census Tract 6553, Bristol County, Massachusetts","113281",
1400000US25005655400,"Census Tract 6554, Bristol County, Massachusetts","109539",
1400000US25005985500,"Census Tract 9855, Bristol County, Massachusetts","119893",
1400000US25005985600,"Census Tract 9856, Bristol County, Massachusetts","143661",
1400000US25005990000,"Census Tract 9900, Bristol County, Massachusetts","-",
1400000US25007200100,"Census Tract 2001, Dukes County, Massachusetts","70189",
1400000US25007200200,"Census Tract 2002, Dukes County, Massachusetts","125982",
1400000US25007200300,"Census Tract 2003, Dukes County, Massachusetts","111667",
1400000US25007200400,"Census Tract 2004, Dukes County, Massachusetts","145938",
1400000US25007990000,"Census Tract 9900, Dukes County, Massachusetts","-",
1400000US25009201100,"Census Tract 2011, Essex County, Massachusetts","143202",
1400000US25009202101,"Census Tract 2021.01, Essex County, Massachusetts","119890",
1400000US25009202103,"Census Tract 2021.03, Essex County, Massachusetts","114861",
1400000US25009202104,"Census Tract 2021.04, Essex County, Massachusetts","115843",
1400000US25009202200,"Census Tract 2022, Essex County, Massachusetts","185568",
1400000US25009203100,"Census Tract 2031, Essex County, Massachusetts","214167",
1400000US25009203200,"Census Tract 2032, Essex County, Massachusetts","182961",
1400000US25009203301,"Census Tract 2033.01, Essex County, Massachusetts","122143",
1400000US25009203302,"Census Tract 2033.02, Essex County, Massachusetts","172500",
1400000US25009204101,"Census Tract 2041.01, Essex County, Massachusetts","81932",
1400000US25009204102,"Census Tract 2041.02, Essex County, Massachusetts","95893",
1400000US25009204200,"Census Tract 2042, Essex County, Massachusetts","67292",
1400000US25009204300,"Census Tract 2043, Essex County, Massachusetts","46604",
1400000US25009204400,"Census Tract 2044, Essex County, Massachusetts","124167",
1400000US25009204500,"Census Tract 2045, Essex County, Massachusetts","126635",
1400000US25009204600,"Census Tract 2046, Essex County, Massachusetts","125000",
1400000US25009204701,"Census Tract 2047.01, Essex County, Massachusetts","100044",
1400000US25009204702,"Census Tract 2047.02, Essex County, Massachusetts","85394",
1400000US25009205100,"Census Tract 2051, Essex County, Massachusetts","89333",
1400000US25009205200,"Census Tract 2052, Essex County, Massachusetts","78594",
1400000US25009205300,"Census Tract 2053, Essex County, Massachusetts","134871",
1400000US25009205400,"Census Tract 2054, Essex County, Massachusetts","114569",
1400000US25009205500,"Census Tract 2055, Essex County, Massachusetts","65724",
1400000US25009205600,"Census Tract 2056, Essex County, Massachusetts","66711",
1400000US25009205700,"Census Tract 2057, Essex County, Massachusetts","90492",
1400000US25009205800,"Census Tract 2058, Essex County, Massachusetts","56596",
1400000US25009205900,"Census Tract 2059, Essex County, Massachusetts","62259",
1400000US25009206000,"Census Tract 2060, Essex County, Massachusetts","73413",
1400000US25009206100,"Census Tract 2061, Essex County, Massachusetts","55962",
1400000US25009206200,"Census Tract 2062, Essex County, Massachusetts","87661",
1400000US25009206300,"Census Tract 2063, Essex County, Massachusetts","97120",
1400000US25009206400,"Census Tract 2064, Essex County, Massachusetts","80750",
1400000US25009206500,"Census Tract 2065, Essex County, Massachusetts","46221",
1400000US25009206600,"Census Tract 2066, Essex County, Massachusetts","75548",
1400000US25009206700,"Census Tract 2067, Essex County, Massachusetts","69728",
1400000US25009206800,"Census Tract 2068, Essex County, Massachusetts","31190",
1400000US25009206900,"Census Tract 2069, Essex County, Massachusetts","44289",
